KEY_lang,English,Vietnamese,Russian,Spanish,French,Japanese,Korean,Thai,Arabic,Chinese,Portuguese,German,Italian,Indonesian,Turkish,
"tips_level_224","Sober! Play it again!\n","Tỉnh tảo quá!! Chơi tiếp nào!","Трезвый! Сыграй еще раз!\n","¡Sobrio! ¡Juega de nuevo!\n","Sobre! Rejoue-le!\n","地味！もう一度プレイしてください！\n","냉정한! 다시 시도하십시오!\n","Sober! เล่นอีกครั้ง!\n","!ىﺮﺧأ ةﺮﻣ ﺐﻌﻠﻟا !ﻦﻴﺻر\n","清醒！再播一次！\n","Sóbrio! Toca outra vez!\n","Nüchtern! Spiel es nochmal!\n","Sobrio! Gioca di nuovo!\n","Siuman! Mainkan lagi!\n","Ayık! Yeniden Oynat!",
"ques_level_225","Cook shrimp noodles","Hãy nấu mỳ tôm nào","Приготовить лапшу с креветками\n","Cocinar fideos de camarones\n","Cuire des nouilles aux crevettes\n","エビ麺を調理する\n","새우 국수 요리\n","ปรุงก๋วยเตี๋ยวกุ้ง\n","يﺮﺒﻤﺠﻟا ﺰﻟدﻮﻧ ﻲﻬﻃ\n","煮虾面\n","Cozinhar macarrão de camarão\n","Garnelennudeln kochen\n","Cuocere le tagliatelle di gamberi\n","Masak mie udang\n","Cook karides erişte\n",
"hint_level_225","Put noodles in the bowl. Pour water from the pitcher into the noodles and cover the bowl with your hand for a few seconds","Cho mỳ vào bát. Đổ nước từ bình nước vào bát mỳ và lấy tay che bát lại trong vài giây","Положите лапшу в миску. Налейте воду из кувшина в лапшу и накройте миску рукой на несколько секунд.\n","Pon los fideos en el tazón. Vierte agua de la jarra en los fideos y cubre el tazón con la mano durante unos segundos.","Mettez les nouilles dans le bol. Versez l'eau du pichet dans les nouilles et couvrez le bol avec votre main pendant quelques secondes\n","ボウルに麺を入れます。ピッチャーから麺に水を注ぎ、ボウルを数秒間手で覆います\n","그릇에 국수를 넣으십시오. 투수에서 국수에 물을 붓고 몇 초 동안 손으로 그릇을 덮으십시오\n","ใส่ก๋วยเตี๋ยวในชาม เทน้ำจากเหยือกลงในก๋วยเตี๋ยวและปิดฝาชามด้วยมือของคุณสักครู่\n","ناﻮﺛ ﻊﻀﺒﻟ كﺪﻴﺑ ءﺎﻋﻮﻟا ﺔﻴﻄﻐﺘﺑ ﻢﻗو ﺔﻧوﺮﻜﻌﻤﻟا ﻲﻓ ﻖﻳﺮﺑﻹا ﻦﻣ ءﺎﻤﻟا ﺐﻜﺳا .ءﺎﻋﻮﻟا ﻲﻓ ﺔﻧوﺮﻜﻌﻤﻟا ﻲﻌﺿ\n","将面条放入碗中。将水从水罐倒入面条，然后用手盖住碗几秒钟\n","Coloque o macarrão na tigela. Despeje água da jarra no macarrão e cubra a tigela com a mão por alguns segundos\n","Nudeln in die Schüssel geben. Gießen Sie Wasser aus dem Krug in die Nudeln und bedecken Sie die Schüssel einige Sekunden lang mit Ihrer Hand\n","Metti le tagliatelle nella ciotola. Versare l'acqua dalla brocca nei noodles e coprire la ciotola con la mano per alcuni secondi\n","Masukkan mie ke dalam mangkuk. Tuangkan air dari teko ke mie dan tutup mangkuk dengan tangan Anda selama beberapa detik\n","Erişteleri kaseye koyun. Sürahiden eriştelere su dökün ve kaseyi birkaç saniye elinizle örtün\n",
"tips_level_225","Whoaa !! Delicious!!\n","Whoaa!! Ngon quá!!","Вау! Очень вкусно!!\n","Whoaa !! ¡¡Delicioso!!\n","Whoaa !! Délicieux!!\n","うわぁ！おいしい！！\n","우와! 맛있는!!\n","ว้าว !! อร่อย!!\n","!!ﺬﻳﺬﻟ !! Whoaa\n","哇！美味的！！\n","Whoaa !! Delicioso!!\n","Whoaa !! Lecker!!\n","Whoaa !! Delizioso!!\n","Whoaa !! Lezat!!\n","Vay !! Lezzetli!!\n",
"ques_level_226","Fill the bucket with water\n","Hãy đổ đầy xô nước","Наполните ведро водой\n","Llena el balde con agua.\n","Remplissez le seau d'eau\n","バケツに水を入れます\n","양동이에 물을 채우십시오\n","เติมถังด้วยน้ำ\n","ءﺎﻤﻟﺎﺑ ﻮﻟﺪﻟا ﻸﻣا\n","往桶里加水\n","Encha o balde com água\n","Füllen Sie den Eimer mit Wasser\n","Riempi il secchio con acqua\n","Isi ember dengan air\n","Kovayı suyla doldurun\n",
"hint_level_226","Put a bucket of water in a large jar and fill it with water\n","Cho xô nước vào bình to rồi đổ nước vào","Положите ведро с водой в большую банку и наполните его водой\n","Ponga un balde de agua en un frasco grande y llénelo con agua.\n","Mettez un seau d'eau dans un grand pot et remplissez-le d'eau\n","大きな瓶に水の入ったバケツを入れて、水を入れます\n","물통을 큰 병에 넣고 물로 채 웁니다.\n","ใส่ถังน้ำในขวดขนาดใหญ่แล้วเติมด้วยน้ำ\n","ءﺎﻤﻟﺎﺑ هﻸﻣاو ﺮﻴﺒﻛ ءﺎﻋو ﻲﻓ ءﺎﻤﻟا ﻦﻣ اًﻮﻟد ﻊﺿ\n","将一桶水放在一个大罐子里，装满水\n","Coloque um balde de água em uma jarra grande e encha com água\n","Stellen Sie einen Eimer Wasser in ein großes Glas und füllen Sie es mit Wasser\n","Metti un secchio d'acqua in un barattolo grande e riempilo d'acqua\n","Taruh seember air dalam toples besar dan isi dengan air\n","Büyük bir kavanoza bir kova su koyun ve suyla doldurun\n",
"tips_level_226","You are very smart!! Haizz\n","Bạn thông minh quá!! Haizz","Ты очень умный!! Haizz\n","¡¡Eres muy inteligente!! Haizz\n","Tu es très intelligent!! Haizz\n","あなたはとても賢いです！！ハイズ\n","당신은 매우 똑똑합니다! 헤이즈\n","คุณฉลาดมาก!! Haizz\n","ﺰﻴﻫ !!اﺪﺟ ﻲﻛذ ﺖﻧا\n","你很聪明！！晕\n","Você é muito esperto!! Haizz\n","Sie sind sehr klug!! Haizz\n","Sei molto intelligente!! Haizz\n","Anda sangat pintar!! Haizz\n","Çok akıllısın!! Haizz\n",
"ques_level_227","Light the candle again","Hãy thắp sáng ngọn nến lần nữa","Зажечь свечу снова\n","Enciende la vela otra vez\n","Allumez à nouveau la bougie\n","再びろうそくに火をつけます\n","다시 촛불을 켜\n","จุดเทียนอีกครั้ง\n","ىﺮﺧأ ةﺮﻣ ﺔﻌﻤﺸﻟا ﻞﻌﺷأ\n","再次点燃蜡烛\n","Acenda a vela novamente\n","Zünde die Kerze wieder an\n","Accendi di nuovo la candela\n","Nyalakan lilin lagi\n","Mumu tekrar yak\n",
"hint_level_227","Ignite the match by the edge of the screen","Đánh lửa que diêm bằng cạnh màn hình nhé bạn","Зажечь спичку по краю экрана\n","Enciende la cerilla por el borde de la pantalla\n","Allumez le match par le bord de l'écran","画面の端でマッチを点火する\n","화면의 가장자리로 일치를 점화\n","จุดจับคู่ที่ขอบของหน้าจอ\n","ﺔﺷﺎﺸﻟا ﺔﻓﺎﺤﺑ ةارﺎﺒﻤﻟا ﻞﻌﺷأ\n","在屏幕边缘点燃火柴\n","Acenda a partida pela borda da tela\n","Zünde die Übereinstimmung am Rand des Bildschirms an\n","Accendi la partita dal bordo dello schermo\n","Menyalakan pertandingan di tepi layar\n","Eşleşmeyi ekranın kenarından tutuştur\n",
"tips_level_227","Hahaaa!!!!","Hahaaa!!!!","Hahaaa !!!!\n","Jajaaa !!!!\n","Hahaaa !!!!\n","ははは！\n","하 아아 !!!\n","Hahaaa !!!!\n","!!!! ﻪﻬﻬﻫ\n","哈哈！\n","Hahaaa !!!!\n","Hahaaa !!!!\n","Hahaaa !!!!\n","Hahaaa !!!!\n","Hahaaa !!!!\n",
"ques_level_228","Look for the truck\n","Hãy tìm chiếc xe tải","Искать грузовик\n","Busca el camión\n","Cherchez le camion\n","トラックを探す\n","트럭을 찾으십시오\n","มองหารถบรรทุก\n","ﺔﻨﺣﺎﺸﻟا ﻦﻋ ﺚﺤﺑا","寻找卡车\n","Procure o caminhão\n","Suchen Sie nach dem LKW\n","Cerca il camion\n","Cari truknya\n","Kamyonu ara\n",
"hint_level_228","Minimize the screen to see stars","Hãy thu nhỏ màn hình xem sao nhé","Сверните экран, чтобы увидеть звезды\n","Minimiza la pantalla para ver estrellas\n","Réduisez l'écran pour voir les étoiles\n","画面を最小化して星を表示\n","별을 보려면 화면을 최소화하십시오\n","ย่อขนาดหน้าจอเพื่อดูดาว\n","مﻮﺠﻨﻟا ﺔﻳؤﺮﻟ ﺔﺷﺎﺸﻟا ﺮﻴﻐﺼﺘﺑ ﻢﻗ\n","最小化屏幕以查看星星\n","Minimize a tela para ver estrelas\n","Minimieren Sie den Bildschirm, um Sterne zu sehen\n","Riduci a icona lo schermo per vedere le stelle\n","Minimalkan layar untuk melihat bintang\n","Yıldızları görmek için ekranı simge durumuna küçültün\n",
"tips_level_228","You are incredible!! Play it again\n","Bạn quá đỉnh!! Chơi tiếp nào","Ты потрясающая!! Сыграй еще раз\n","¡¡Eres increíble!! Juega de nuevo\n","Vous êtes incroyable!! Rejoue-le\n","あなたは素晴らしい！！もう一度プレイ\n","당신은 대단합니다! 다시 시도하십시오\n","คุณช่างเหลือเชื่อ !! เล่นอีกครั้ง\n","ىﺮﺧأ ةﺮﻣ ﺐﻌﻠﻟا !!ﻊﺋار ﺖﻧا\n","你太不可思议了！！再播一次\n","Você é incrível!! Toca outra vez\n","Du bist unglaublich!! Spiel es nochmal\n","Sei incredibile!! Gioca di nuovo\n","Kamu luar biasa!! Mainkan lagi\n","Sen inanılmazsın !! Yeniden Oynat\n",
"ques_level_229","Kill the monster","Hãy giết con quái vật","Убить монстра\n","Mata al monstruo\n","Tuez le monstre\n","モンスターを殺す\n","몬스터 처치\n","ฆ่าสัตว์ประหลาด\n","ﺶﺣﻮﻟا ﻞﺘﻗا\n","杀死怪物\n","Mate o monstro\n","Töte das Monster","Uccidi il mostro\n","Bunuh monster itu\n","Canavarı öldür\n",
"hint_level_229","Hit the monster many times in the eye","Hãy đánh nhiều lần vào mắt con quái thú","Хит монстра много раз в глаза\n","Golpea al monstruo muchas veces en el ojo\n","Frappez le monstre plusieurs fois dans les yeux\n","目の中に何度もモンスターをぶつける\n","눈에서 몬스터를 여러 번 때리다\n","โดนสัตว์ประหลาดหลายต่อหลายครั้งในดวงตา\n","ﻦﻴﻌﻟا ﻲﻓ تاﺮﻣ ةﺪﻋ ﺶﺣﻮﻟا بﺮﺿ\n","击中怪物很多次\n","Bata no monstro muitas vezes nos olhos\n","Triff das Monster viele Male ins Auge\n","Colpisci il mostro molte volte negli occhi\n","Hit monster berkali-kali di mata\n","Canavarın gözüne birçok kez vur\n",
"tips_level_229","Earth peace thanks to you!\n","Trái đất lại bình yên nhờ bạn!","Земля мир благодаря тебе!\n","Tierra paz gracias a ti!\n","Paix de la terre grâce à vous!\n","あなたのおかげで地球平和！\n","당신 덕분에 지구 평화!\n","ขอขอบคุณสันติภาพของโลก!\n","!ﻚﻟ اﺮﻜﺷ ضرﻷا مﻼﺳ\n","大地和平感谢您！\n","Paz na terra graças a você!\n","Erdfrieden dank dir!\n","Pace della Terra grazie a te!\n","Kedamaian bumi, terima kasih!\n","Senin sayesinde dünya barışı!\n",
"ques_level_230","Enter a password","Hãy nhập mật mã","введите пароль\n","Ingrese una contraseña\n","Entrer un mot de passe\n","パスワードを入力します\n","비밀번호를 입력하세요\n","ใส่รหัสผ่าน\n","روﺮﻣ ﺔﻤﻠﻛ ﻞﺧدأ\n","输入密码\n","insira uma senha\n","Geben Sie ein Passwort ein\n","Inserisci una password\n","Masukan kata sandi\n","Bir parola girin",
"hint_level_230","1224 it is noel Christmas","1224 đấy chính là ngày lễ noel noel","1224 это Рождество Ноэль\n","1224 es noel navidad\n","1224 c'est noel noel\n","1224それはノエルのクリスマスです\n","1224 그것은 노엘 크리스마스\n","1224 มันคือคริสต์มาสประสานเสียง\n","ﻞﻳﻮﻧ دﻼﻴﻤﻟا ﺪﻴﻋ ﻮﻫ 1224\n","1224是圣诞节\n","1224 é noel natal\n","1224 ist Weihnachten\n","1224 è Natale noel\n","1224 itu Natal noel\n","1224 Noel Noel\n",
"tips_level_230","Is there harder challenge?","Có thử thách nào khó hơn nữa không?","Есть ли сложная задача?\n","¿Hay un desafío más difícil?\n","Y a-t-il un défi plus difficile?\n","難しい課題はありますか？\n","더 어려운 도전이 있습니까?\n","มีความท้าทายมากขึ้นหรือไม่?\n","؟ﺐﻌﺻأ ﺪﺤﺗ كﺎﻨﻫ ﻞﻫ","还有更艰巨的挑战吗？","Existe um desafio mais difícil?\n","Gibt es eine schwierigere Herausforderung?\n","C'è una sfida più difficile?\n","Apakah ada tantangan yang lebih sulit?\n","Daha zor bir meydan okuma var mı?\n",
"ques_level_231","Kill the fly before it lands on the food plate","Hãy giết con ruồi trước khi nó đậu vào đĩa thức ăn","Убей муху, прежде чем она упадет на тарелку с едой\n","Mata la mosca antes de que caiga en el plato de comida\n","Tuez la mouche avant qu'elle n'atterrisse sur l'assiette de nourriture\n","フライがフードプレートに着く前にハエを殺す\n","음식 접시에 닿기 전에 파리를 죽여라\n","ฆ่าแมลงวันก่อนที่มันจะตกลงบนจานอาหาร\n","مﺎﻌﻄﻟا ﻖﺒﻃ ﯽﻠﻋ ﻂﺒﻬﺗ نأ ﻞﺒﻗ ﺔﺑﺎﺑﺬﻟا ﻞﺘﻗا\n","在苍蝇落在食物盘上之前将其杀死\n","Mate a mosca antes que ela caia no prato de comida\n","Töte die Fliege, bevor sie auf dem Teller landet\n","Uccidi la mosca prima che finisca sul piatto\n","Bunuh lalat sebelum mendarat di piring makanan\n","Gıda tabağına inmeden önce sineği öldür\n",
"hint_level_231","Aim very carefully","Hãy nhắm thật kỹ","Цель очень осторожно\n","Apunta con mucho cuidado\n","Visez très soigneusement\n","じっくり狙う\n","매우 신중하게 목표\n","เล็งอย่างระมัดระวัง\n","ﺔﻘﺋﺎﻓ ﺔﻳﺎﻨﻌﺑ فﺪﻬﻟا\n","小心一点\n","Apontar com muito cuidado\n","Zielen Sie sehr sorgfältig\n","Mirare con molta attenzione\n","Bidik dengan sangat hati-hati\n","Çok dikkatli nişan al\n",
"tips_level_231","Done!!","Xong!!","Выполнено!!\n","¡¡Hecho!!\n","Terminé!!","できた!!\n","끝난!!\n","เสร็จสิ้น !!\n","!!ﺰﺠﻨﻣ\n","做完了！\n","Feita!!","Erledigt!!\n","Fatto!!\n","Selesai !!\n","Bitti !!\n",
"ques_level_232","Make me sleep baby\n","Hãy làm cho e bé ngủ","Заставь меня спать, детка\n","Hazme dormir bebe\n","Fais moi dormir bébé\n","私を眠らせて\n","잠들게 해줘 자기\n","ทำให้ฉันนอนหลับที่รัก\n","ﻲﺘﺒﻴﺒﺣ مﺎﻧأ ﻲﻨﻠﻌﺟا\n","让我睡吧宝贝\n","Me faz dormir baby\n","Lass mich schlafen, Baby\n","Fammi dormire piccola\n","Buat aku tidur, sayang\n","Uyut beni bebeğim\n",
"hint_level_232","Pull the baby bottle first. Then pull the baby into the stroller","Kéo bình sữa vào em bé trước. Sau đó kéo em bé vào xe đẩy","Сначала вытащите бутылочку. Затем потяните ребенка в коляску\n","Jale el biberón primero. Luego jala al bebé hacia la carriola\n","Tirez d'abord le biberon. Tirez ensuite le bébé dans la poussette\n","最初に哺乳瓶を引き出します。次に、ベビーカーをベビーカーに入れます\n","젖병을 먼저 당깁니다. 그런 다음 유모차로 아기를 당깁니다\n","ดึงขวดนมก่อน จากนั้นดึงทารกเข้าสู่รถเข็น\n","لﺎﻔﻃﻷا ﺔﺑﺮﻋ ﯽﻟإ ﻞﻔﻄﻟا ﺐﺤﺳا ﻢﺛ .ًﻻوأ ﻊﻴﺿﺮﻟا ﺔﺟﺎﺟز ﺐﺤﺳا\n","首先拉婴儿奶瓶。然后将婴儿拉入婴儿车\n","Puxe a mamadeira primeiro. Em seguida, puxe o bebê para o carrinho\n","Ziehen Sie zuerst die Babyflasche. Dann ziehen Sie das Baby in den Kinderwagen\n","Tirare prima il biberon. Quindi tirare il bambino nel passeggino\n","Tarik botol bayi dulu. Lalu tarik bayi ke kereta dorong\n","Önce biberonu çekin. Sonra bebeği bebek arabasına çekin\n",
"tips_level_232","Good night!\n","Ngủ ngoan nhé!","Спокойной ночи!\n","¡Buenas noches!\n","Bonne nuit!\n","おやすみなさい！\n","안녕히 주무세요!\n","ราตรีสวัสดิ์!\n","!ﺮﻴﺧ ﯽﻠﻋ ﺢﺒﺼﺗ\n","晚安！\n","Boa noite!","Gute Nacht!\n","Buona notte!\n","Selamat malam!\n","İyi geceler!\n",
"ques_level_233","Open the door again","Hãy mở cửa lần nữa","Снова откройте дверь\n","Abre la puerta de nuevo\n","Ouvrez à nouveau la porte","ドアをもう一度開けます\n","문을 다시 열어\n","เปิดประตูอีกครั้ง\n","ىﺮﺧأ ةﺮﻣ بﺎﺒﻟا ﺢﺘﻓا\n","再次开门\n","Abra a porta novamente\n","Öffne die Tür wieder\n","Apri di nuovo la porta\n","Buka pintunya lagi\n","Kapıyı tekrar aç\n",
"hint_level_233","Get the key in the boy's pocket\n","Hãy lấy chiếc chìa khóa trong túi quần của cậu bé","Получить ключ в кармане мальчика","Pon la llave en el bolsillo del chico\n","Obtenez la clé dans la poche du garçon\n","男の子のポケットに鍵を入れます\n","소년의 주머니에 열쇠를 줘\n","รับกุญแจในกระเป๋าของเด็กชาย\n","ﻲﺒﺼﻟا ﺐﻴﺟ ﻲﻓ حﺎﺘﻔﻤﻟا ﯽﻠﻋ ﻞﺼﺣا\n","拿到男孩口袋里的钥匙","Pegue a chave no bolso do garoto\n","Holen Sie sich den Schlüssel in die Tasche des Jungen\n","Prendi la chiave nella tasca del ragazzo\n","Dapatkan kunci di saku bocah itu\n","Çocuğun cebinde anahtarı al\n",
"tips_level_233","Can't hide you anything!\n","Không giấu được bạn thứ gì!","Ничего не могу спрятать!\n","No puedo esconderte nada!\n","Je ne peux rien te cacher!\n","あなたを隠すことはできません！\n","당신을 숨길 수 없습니다!\n","ไม่สามารถซ่อนอะไรได้เลย!\n","!ءﻲﺷ يا ﻚﺋﺎﻔﺧا ﻲﻨﻨﻜﻤﻳ ﻻ\n","无法掩饰你！\n","Não posso esconder nada!\n","Kann dich nichts verstecken!\n","Non posso nasconderti niente!\n","Tidak bisa menyembunyikan apapun padamu!\n","Sana hiçbir şey saklayamıyorum!\n",
"ques_level_234","Who is cheating?\n","Ai là người đang gian lận","Кто обманывает?\n","¿Quién está haciendo trampa?\n","Qui triche?\n","だましているのは誰ですか？\n","누가 바람을 피우고 있습니까?","ใครกำลังโกง?\n","؟ﺶﻐﻟا ﻦﻣ\n","谁在作弊？\n","Quem está trapaceando?\n","Wer betrügt?\n","Chi sta tradendo?\n","Siapa yang selingkuh?\n","Kim aldatıyor?\n",
"hint_level_234","There is 1 person wearing a wig. Check that person out","Có 1 người đang đội tóc giả. Hãy kiểm tra người đó xem","1 человек в парике. Проверь этого человека\n","Hay 1 persona con peluca. Mira a esa persona\n","Il y a 1 personne portant une perruque. Vérifiez cette personne\n","かつらをつけた人が1人います。その人をチェックしてください\n","가발을 쓰고있는 사람은 1 명입니다. 그 사람을 확인\n","มี 1 คนสวมวิก ตรวจสอบบุคคลนั้นออก\n","ﺺﺨﺸﻟا اﺬﻫ ﻦﻣ ﻖﻘﺤﺗ .رﺎﻌﺘﺴﻣ ﺮﻌﺷ يﺪﺗﺮﻳ ﺪﺣاو ﺺﺨﺷ كﺎﻨﻫ\n","有1人戴着假发。检查那个人\n","Há uma pessoa usando uma peruca. Confira essa pessoa\n","Es gibt 1 Person, die eine Perücke trägt. Überprüfen Sie diese Person aus\n","C'è 1 persona che indossa una parrucca. Dai un'occhiata a quella persona\n","Ada 1 orang yang memakai wig. Lihat orang itu\n","Peruk takan 1 kişi var. O kişiyi kontrol et\n",
"tips_level_234","Catched it !!!","Bắt được rồi nhá!!!","Поймал это !!!\n","¡Lo atrapé!\n","Attrapé !!!","捕まえた!!!\n","잡았다!\n","จับมัน !!!\n","!!! ﻪﻴﻠﻋ ﺾﺒﻗ\n","抓住了！\n","Peguei !!!\n","Fang es !!!\n","Preso !!!\n","Tangkap !!!\n","Yakaladım !!!\n",
"ques_level_235","Select 3 balls to complete the calculation","Hãy chọn 3 quả bóng để hoàn thành phép tính","Выберите 3 шара, чтобы завершить расчет\n","Seleccione 3 bolas para completar el cálculo.\n","Sélectionnez 3 balles pour terminer le calcul\n","3つのボールを選択して計算を完了してください\n","계산을 완료하려면 3 개의 볼을 선택하십시오.\n","เลือก 3 ลูกเพื่อทำการคำนวณให้เสร็จ\n","بﺎﺴﺤﻟا لﺎﻤﻛﻹ تاﺮﻛ 3 دﺪﺣ","选择3个球以完成计算\n","Selecione 3 bolas para concluir o cálculo\n","Wähle 3 Bälle aus, um die Berechnung abzuschließen\n","Seleziona 3 palline per completare il calcolo","Pilih 3 bola untuk menyelesaikan perhitungan\n","Hesaplamayı tamamlamak için 3 top seçin\n",
"hint_level_235","Ball number 9 can spin\n","Quả bóng số 9 có thể xoay tròn được","Мяч № 9 может вращаться\n","La bola número 9 puede girar\n","La balle numéro 9 peut tourner\n","ボール番号9はスピンできます\n","볼 번호 9는 회전 할 수 있습니다\n","บอลหมายเลข 9 สามารถหมุนได้\n","9 ﻢﻗر ةﺮﻜﻟا روﺪﺗ نأ ﻦﻜﻤﻳ\n","9号球可以旋转\n","A bola número 9 pode girar\n","Ball Nummer 9 kann sich drehen\n","La palla numero 9 può girare\n","Bola nomor 9 dapat berputar\n","9 numaralı top dönebilir\n",
"tips_level_235","So cool !!\n","Đỉnh quá!!","Так круто !!\n","Muy guay !!\n","Trop cool !!\n","とてもクール ！！\n","너무 멋져요!\n","เจ๋ง !!\n","!! اﺪﺟ ﻒﻴﻄﻟ\n","非常酷 ！！\n","Tão legal !!\n","So cool !!\n","Così bello !!\n","Keren abis !!\n","Çok havalı !!\n",
"ques_level_236","How many flies\n","Có bao nhiêu con ruồi","Сколько мух\n","Cuantas moscas\n","Combien de mouches\n","ハエは何匹\n","얼마나 많은 파리\n","มีแมลงวันกี่ตัว\n","بﺎﺑﺬﻟا دﺪﻋ ﻢﻛ\n","多少只苍蝇\n","Quantas moscas\n","Wie viele Fliegen\n","Quante mosche\n","Berapa banyak lalat\n","Kaç sinek\n",
"hint_level_236","Try zooming in on the dung","Hãy thử phóng to bãi phân lên xem","Попробуйте увеличить навоз\n","Intenta acercar el estiércol\n","Essayez de zoomer sur la bouse\n","糞を拡大してみてください\n","배설물을 확대 해보십시오\n","ลองซูมเข้ากับเนื้อหา\n","ثوﺮﻟا ﺮﻴﺒﻜﺗ لوﺎﺣ\n","尝试放大粪便","Tente ampliar o esterco\n","Versuchen Sie, den Mist zu vergrößern\n","Prova a ingrandire lo sterco\n","Coba perbesar pada kotoran\n","Gübre üzerinde yakınlaştırmayı deneyin\n",
"tips_level_236","So unsanitary !!\n","Mất vệ sinh quá!!","Так антисанитарно !!","¡Tan insalubre!\n","Si insalubre !!\n","とても不衛生です!!\n","비위생적 !!","สกปรกมาก !!\n","!! اﺪﺟ ﻲﺤﺻ ﺮﻴﻏ\n","太不卫生了!!\n","Tão anti-higiênico !!\n","So unhygienisch !!\n","Così insalubre !!\n","Sangat tidak sehat !!\n","Çok sağlıksız !!\n",
"ques_level_237","Open the door again","Hãy mở cửa lần nữa","Снова откройте дверь\n","Abre la puerta de nuevo\n","Ouvrez à nouveau la porte\n","ドアをもう一度開けます\n","문을 다시 열어\n","เปิดประตูอีกครั้ง\n","ىﺮﺧأ ةﺮﻣ بﺎﺒﻟا ﺢﺘﻓا","再次开门\n","Abra a porta novamente\n","Öffne die Tür wieder\n","Apri di nuovo la porta\n","Buka pintunya lagi\n","Kapıyı tekrar aç\n",
"hint_level_237","Turn around the boy and shake the device where the key will fall off\n","Quay ngược cậu bé và lắc thiết bị chìa khóa sẽ rơi ra","Повернитесь к мальчику и встряхните устройство там, где отвалится ключ\n","Da la vuelta al niño y sacude el dispositivo donde se caerá la llave\n","Retournez le garçon et secouez l'appareil où la clé tombera\n","男の子を振り向いて、キーが落ちるデバイスを振る\n","소년을 돌아서 열쇠가 떨어질 곳을 흔들어주십시오\n","หมุนตัวเด็กและเขย่าอุปกรณ์ที่กุญแจจะหล่นลงมา\n","حﺎﺘﻔﻤﻟا ﻂﻘﺴﻴﺳ ﺚﻴﺣ زﺎﻬﺠﻟا جرو ﻲﺒﺼﻟا ةراﺪﺘﺳﺎﺑ ﻢﻗ\n","转过男孩，摇晃设备，钥匙会掉下","Vire-se e agite o dispositivo onde a chave cairá","Drehen Sie den Jungen um und schütteln Sie das Gerät, wo der Schlüssel herunterfallen wird\n","Girare intorno al ragazzo e agitare il dispositivo in cui la chiave cadrà\n","Balikkan bocah itu dan goyangkan perangkat tempat kunci akan jatuh\n","Çocuğu çevirin ve anahtarın düşeceği cihazı sallayın\n",
"tips_level_237","You really know how to find things!\n","Bạn thật biết tìm đồ!","Вы действительно знаете, как найти вещи!\n","¡Realmente sabes cómo encontrar cosas!\n","Vous savez vraiment trouver des choses!\n","あなたはものを見つける方法を本当に知っています！\n","당신은 정말로 물건을 찾는 방법을 알고 있습니다!\n","คุณรู้วิธีค้นหาสิ่งต่างๆจริงๆ!\n","!ءﺎﻴﺷﻷا ﺪﺠﺗ ﻒﻴﻛ ﺎﻘﺣ فﺮﻌﺗ ﺖﻧأ\n","您真的知道如何找到东西！\n","Você realmente sabe como encontrar coisas!\n","Sie wissen wirklich, wie man Dinge findet!\n","Sai davvero come trovare le cose!\n","Anda benar-benar tahu cara menemukan sesuatu!\n","Gerçekten bir şeyleri nasıl bulacağınızı biliyorsunuz!\n",
"ques_level_238","Open the door again","Hãy mở cửa lần nữa","Снова откройте дверь\n","Abre la puerta de nuevo\n","Ouvrez à nouveau la porte\n","ドアをもう一度開けます\n","문을 다시 열어\n","เปิดประตูอีกครั้ง\n","ىﺮﺧأ ةﺮﻣ بﺎﺒﻟا ﺢﺘﻓا\n","再次开门\n","Abra a porta novamente\n","Öffne die Tür wieder\n","Apri di nuovo la porta\n","Buka pintunya lagi\n","Kapıyı tekrar aç\n",
"hint_level_238","Try giving the dog a bowl of food","Hãy thử để chú chó ăn bát thức ăn kia xem","Попробуйте дать собаке миску еды\n","Intenta darle al perro un plato de comida\n","Essayez de donner au chien un bol de nourriture\n","犬に餌をあげてみてください\n","개에게 음식 한 그릇을 줘보십시오\n","ลองแจกชามอาหารให้กับสุนัข\n","مﺎﻌﻃ ءﺎﻋو ﺐﻠﻜﻟا ءﺎﻄﻋإ لوﺎﺣ\n","尝试给狗吃一碗食物\n","Tente dar ao cachorro uma tigela de comida\n","Versuchen Sie, dem Hund eine Schüssel mit Futter zu geben\n","Prova a dare al cane una ciotola di cibo\n","Cobalah memberi anjing semangkuk makanan\n","Köpeğe bir kase yiyecek vermeye çalış\n",
"tips_level_238","Hahaaa!!!!","Hahaaa!!!!","Hahaaa !!!!\n","Jajaaa !!!!\n","Hahaaa !!!!\n","はははぁ!!!\n","하 아아 !!!\n","ฮ่าฮ่าฮ่า !!!!\n","!!!! ﻪﻬﻬﻫ\n","哈哈！\n","Hahaaa !!!!\n","Hahaaa !!!!\n","Hahaaa !!!!\n","Hahaaa !!!!\n","Hahaaa!!!!",
"ques_level_239","Where is the shadow of the boy\n","Đâu mới là cái bóng của cậu bé","Где тень мальчика\n","Donde esta la sombra del chico\n","Où est l'ombre du garçon\n","少年の影はどこですか\n","소년의 그림자는 어디에\n","เงาของเด็กชายอยู่ที่ไหน\n","ﯽﺘﻔﻟا ﻞﻇ ﻦﻳأ","男孩的影子在哪里\n","Onde está a sombra do garoto\n","Wo ist der Schatten des Jungen?\n","Dov'è l'ombra del ragazzo\n","Di mana bayangan bocah itu\n","Çocuğun gölgesi nerede",
